fairness	Честная игра
how_to_play	Как играть
best_mode	Сделанных Ставок
total_won	Всего Выиграно
bet_amount	Сумма Ставки
pls_select_sector	Пожалуйста, выберите сектор
pls_login_to	Пожалуйста, войдите в
spin	ВРАЩАТЬ
block	Блок
player	Игрок
prediction	Прогноз
result	Результат
bet	Ставка
payout	Выплата
fairness_text	Генератор случайных числе построен на значении хеша блока Трона, который заранее никому неизвестен. Вы можете вставить адрес игрока и номер блока, в который совершена ставка, и убедиться, что полученное значение и выпавшее число совпадают.
bet_id	Адрес Игрока:
block_number	Номер блока:
result_2	Результат:
send	Отправить
referrals	Рефералы
referrals_text	Получите вознаграждение, просто пригласив своих друзей! Наслаждайтесь наградами, просто распространив ссылку друзьям! Получите 0,2% от всех их выигрышей. Все вознаграждения автоматически отправляются через наши смарт-контракты. Просто скопируй ссылку выше и поделись ею со всеми своими друзьями!
how_1	1.  Убедитесь, что у вас есть кошелек TRONLink. Для получения дополнительной информации о том, как его создать, <a href="https://chrome.google.com/webstore/detail/tronlink/ibnejdfjmmkpcnlpebklmnkoeoihofec" target="_blank">нажмите сюда</a>.
how_2	2.  Чтобы играть, у вас должен быть TRX, это основная криптовалюта cети TRON. 
how_3	3. Задайте Сумму Ставки. Это сумма TRX, на которую вы будете делать ставку. 
how_4	4. Выбирите сектор.
how_5	5.  Нажмите ВРАЩАТЬ, чтобы сделать ставку. Смарт-контракты будут случайным образом генерировать счастливое число
how_6	6. Если номер сектора равен вашему прогнозу, то вы ВЫИГРАЕТЕ! Выплата = СТАВКА * СЕКТОР.
how_7	Есть еще вопросы? Присоединяйтесь к нашей <a href="https://t.me/gamesontron" target="_blank"> телеграмм группе</a> , и мы будем рады помочь!
network_err	Ошибка сети
tsc_err	Tron Smart Contract сейчас недоступен. Пожалуйста, попробуйте позже.
need_tron	Необходим TRONLink
tron_text	Войдите в свой кошелек TRONLink. Если у вас нет кошелька TRONLink, пожалуйста <a href="https://chrome.google.com/webstore/detail/tronlink/ibnejdfjmmkpcnlpebklmnkoeoihofec" target="_blank">загрузите расширение Сhrome</a>.  Доступно только для браузера Chrome.
wagered	Сумма ставок
balance	Баланс
my_bets	Мои ставки
all_bets	Все ставки
high_rollers	Большие Ставки
rare_wins	Редкие победы
history	История
money	Деньги
poker_dice	Покер кости
crypto_slots	Крипто слоты
dividends	Дивиденды
soon	скоро
